coingecko_id,symbol,mcap_usd,median_daily_volume_usd,amihud_illiq,days_to_liquidate_1pct,realized_vol_ann_90d,max_drawdown_90d,n_obs
chainlink,LINK,6764069747.427362,354349768.8037044,7.024830933496225e-05,0.19088681136333369,0.7453173594829601,-0.350335616166361,365
shiba-inu,SHIB,3604585964.6333947,124405180.8604125,0.00018367792294352034,0.28974564722331636,0.7025675678923027,-0.3287050859177678,365
bittensor,TAO,2364198054.4972744,162513643.4565903,0.00023903323123873447,0.14547689684458925,1.0437972722059405,-0.3883993774689648,365
uniswap,UNI,2104769634.419714,188926421.52970478,0.00013508879268357344,0.11140684385898784,0.8703216034916779,-0.38003746753821266,365
pepe,PEPE,1596651986.3251882,345707352.0602044,8.624364480391295e-05,0.046185074653753204,1.055390310815391,-0.3668803322624894,365
aave,AAVE,1428301515.5028918,339076074.72758436,9.214755983445193e-05,0.04212333520288618,0.9368334201999584,-0.43759911242162186,365
quant-network,QNT,1068082218.8140013,12649940.458854022,0.0017638144135807509,0.8443377439507417,0.7400573439203969,-0.3070313963317246,365
render-token,RNDR,940850720.7287743,73210500.1997917,0.0004916193246286064,0.12851308462053798,0.9321341723212139,-0.3812148211607045,365
ethena,ENA,934685579.8702703,102085174.32594213,0.00033667319742963976,0.09155938519397186,1.008330899753417,-0.5447830443050373,365
worldcoin-wld,WLD,869925129.3282409,89767253.10030892,0.0003798169465434585,0.09690896170746781,1.2101956582709033,-0.5868039759343496,365
arbitrum,ARB,784664939.2565342,75017477.87454493,0.000369853774677987,0.10459761664725177,0.8279888772767017,-0.5016137328329229,365
fetch-ai,FET,467778230.20318645,64449081.47926536,0.0005380676312695253,0.07258105460411886,1.0311489756172774,-0.3908637328030129,365
layerzero,ZRO,394759018.2311828,76403129.38226202,0.0005997039856659202,0.051667912220730486,1.1415357420927599,-0.3508358749367291,365
curve-dao-token,CRV,342468735.8162529,50887198.93504561,0.0005581228479038024,0.06729958476460715,0.8073685094255851,-0.42623188844310256,365
injective-protocol,INJ,329055367.0557799,42909176.7204112,0.0006193442668308783,0.0766864787921353,0.8229597128267566,-0.40056345209003064,365
lido-dao,LDO,322307620.0206526,26713739.318009302,0.0011215494481095043,0.12065237898139033,0.9597754054433137,-0.46667496302941636,365
floki,FLOKI,313125039.69578457,29149404.898635104,0.0009442661985474437,0.10742073149851729,0.873024551515242,-0.3865370725301477,365
the-graph,GRT,267275767.62510926,14259022.827705659,0.0017540557918980652,0.18744325670464973,0.7421155594163528,-0.3670420909254759,365
optimism,OP,260850835.01542863,57684066.64146367,0.0005028905987422003,0.04522060426785642,0.942115762294596,-0.6653101696278284,365
olympus,OHM,258960289.18090147,169461.3133984416,0.07419717740612099,15.281380982338293,0.31424090889255807,-0.26517641392925584,365
ethereum-name-service,ENS,234740127.6849063,19674686.958796192,0.001401160900497819,0.11931073067465417,0.8564924950220434,-0.4019643464798972,365
compound-governance-token,COMP,221985113.68877348,14055519.017206922,0.0016395914708145134,0.157934483541317,0.9608876667106758,-0.3430484377189599,365
pendle,PENDLE,221204491.94818696,29552654.999357887,0.001144844745802599,0.07485097090362719,1.0168711527718934,-0.4982688224781142,365
theta-token,THETA,214481914.8609175,9277762.528617628,0.0032007062597731962,0.23117849179620575,0.8680679106570388,-0.521697251283755,365
decentraland,MANA,177034584.49751028,14371587.3596385,0.0017808415441196055,0.12318373751440871,0.7747532693151125,-0.516545981696906,365
convex-finance,CVX,163607288.709404,7776553.69999381,0.004376388892208281,0.21038533908604556,0.9222308307437946,-0.31705035268485604,365
jito-governance-token,JTO,156700871.662285,13646815.88301479,0.0021429069657179054,0.11482595867459404,1.1537114605608387,-0.44119608455147197,365
gala,GALA,152271615.05522278,24150880.566087283,0.0012019524880319897,0.06305012963752672,0.8057738651319948,-0.5642734706188821,365
immutable-x,IMX,150289454.9778779,12437567.361549228,0.0025223023070002127,0.12083508825246496,0.9205522780196049,-0.4673467458154158,365
1inch,1INCH,134818817.49905,11238232.842509843,0.001929054284096933,0.11996442802740577,0.7939819042005286,-0.4037981139176414,365
eigenlayer,EIGEN,126623276.65479918,21227891.14753672,0.0015192178109455098,0.059649484621317424,0.9743662447931275,-0.5505711189298066,365
enjincoin,ENJ,112636099.74736065,6909886.055833094,0.003884273782263056,0.16300717383360763,1.6445046983329425,-0.42243112934904226,365
livepeer,LPT,105236099.24292304,9684385.700101856,0.002030306883387212,0.10866574556382674,0.9063099004577293,-0.4517997515028349,365
apecoin,APE,100745200.8113447,18327353.266871758,0.0015524181160659208,0.054969858082809034,0.8227428580914797,-0.5624098835988174,365
yearn-finance,YFI,100513666.41630822,7915917.278592847,0.002777801531055335,0.12697665081484502,0.6439342436794488,-0.2917999725671728,365
blur,BLUR,94081097.63678752,6239141.410161762,0.003796929577377477,0.15079173792015124,1.2418222865663864,-0.4686754086759174,365
oasis-network,ROSE,82747340.76515166,8043686.903355498,0.0045156841297151395,0.10287240386076296,1.0650403660290282,-0.5606083788395966,365
wormhole,W,73680218.33254354,19554245.465732917,0.0015749137892374608,0.037679908673367936,0.848905939548003,-0.6039859888901112,365
numeraire,NMR,64245821.26859805,7263320.687098652,0.003373280627479241,0.08845240907883026,0.7704208761499994,-0.3675439848556723,365
sushi,SUSHI,62769666.92660224,8434989.547719242,0.0030267966338339987,0.07441582063794576,0.8365760177529069,-0.3833175221131312,365
request-network,REQ,58261482.074489504,1420144.7308226156,0.01614636846207747,0.4102503132954743,1.0111539427452687,-0.43090341921599074,365
tellor,TRB,50946218.76204571,11021405.17055086,0.0023034302049528554,0.04622479436485445,1.103127609619241,-0.31302410739939523,365
ankr,ANKR,50786627.6014681,8958715.0026349,0.002861806576840166,0.056689634156830475,0.8835145240429297,-0.3540150292594981,365
api3,API3,44104744.381751195,7579425.456242836,0.003028353559314343,0.05819008925725904,0.8582870786191636,-0.37353002283808623,365
frax-share,FXS,43432498.83668174,2607718.669402086,0.013225000244383372,0.16655362154783443,1.1306327935413478,-0.6147185891588878,365
rocket-pool,RPL,41958362.10252502,3177698.639763506,0.008273119402175608,0.13204009208893291,1.294849153920703,-0.4335539571629591,365
band-protocol,BAND,38779437.238819286,4496199.390001653,0.006157148909630857,0.08624937169168788,0.8094333056906442,-0.35087789201209896,365
illuvium,ILV,38526720.175534375,3660193.136700128,0.007658757364339016,0.1052587083157814,0.9534992281094151,-0.4375666010265403,365
mass-vehicle-ledger,MVL,36724491.51587242,111095.78185688835,0.19622817339096013,3.3056602961920074,0.4970332493702685,-0.2661912774657387,365
bancor,BNT,34759275.88336163,247038.97728819557,0.1164679296394733,1.4070360987129362,0.7156687388918603,-0.33908088781272305,365
power-ledger,POWR,34110677.19064527,2790660.474238008,0.008837494994775515,0.12223155595436318,0.6775618914313492,-0.33874600196232396,365
iexec-rlc,RLC,32489684.37006125,2691686.4374225335,0.008874091475507906,0.12070382314357632,0.7386655321684401,-0.4074207281902865,365
wax,WAX,31076835.63936881,1685781.6147849113,0.012250092902095727,0.18434674673643242,0.9258950270642505,-0.31670243594105807,365
audius,AUDIO,30534430.60538164,4435051.290033955,0.004623038470429932,0.06884797628833705,1.1605613479511325,-0.42697988810238063,365
spell-token,SPELL,28207408.143793605,3718737.014551999,0.004811886370817638,0.07585211869893894,0.6087877975124542,-0.3680905057401106,365
ocean-protocol,OCEAN,27337213.650274336,85372.67433826119,0.22724237448670528,3.202103467200711,0.6465852279825361,-0.33078639007057575,365
metal,MTL,26702458.17172287,1283476.3523193174,0.014012251996021777,0.2080479170766953,0.6093002535160559,-0.29901348847460485,365
civic,CVC,24927842.407169882,2358768.2789284624,0.0075539714685372026,0.10568160776900927,0.6401857784740428,-0.3495591632355681,365
kyber-network-crystal,KNC,24550411.291771393,5062646.26705401,0.004679698266431501,0.04849323850954622,0.8605132853277028,-0.41919386290425287,365
stargate-finance,STG,22888856.74498146,8894135.622760318,0.00489152412534592,0.02573477369336296,1.1680528381847852,-0.351867306696224,365
singularitynet,AGIX,22353847.392122563,15586.263393174933,2.4570238225700476,14.342018242750271,1.0550319332181055,-0.37551505887986336,365
loopring,LRC,21251944.81014078,6336389.090058389,0.004371559409231465,0.03353951991913576,0.8621171708925217,-0.6750319941339246,365
dodo,DODO,17766798.33002915,2237207.819562386,0.013106034084698794,0.07941505556468359,0.8671674806352453,-0.2933781551937452,365
keep-network,KEEP,16593077.666134031,2189.620643362833,26.103464071951286,75.78060481129863,2.058247899574381,-0.4307292597907988,365
moonbeam,GLMR,15523069.660317982,2293429.3434153744,0.011322963098348083,0.06768497012949626,1.0599527867579248,-0.5361491501642828,365
origin-protocol,OGN,15435135.873061053,2686734.859219021,0.009879870102859541,0.05744941976726253,1.2543272500391938,-0.38167600396481316,365
my-neighbor-alice,ALICE,14970548.295293173,6343948.047383207,0.004310356471634732,0.023598157146744483,1.2495518929501224,-0.4282334615593951,365
storj,STORJ,14358530.405501796,5088018.896522377,0.005170673541198336,0.028220277277892475,0.7365650540333215,-0.32467826743998607,365
alchemix,ALCX,13207777.06986103,1134847.3026392795,0.02044036531157424,0.11638373761072622,1.1978507394648683,-0.37197049208497224,365
gods-unchained,GODS,12786361.61160763,386224.57203255995,0.060182902639710135,0.331060282993328,0.996556024380984,-0.4546977613482234,365
vulcan-forged,PYR,12493953.266907807,3384008.4213810973,0.008030528813298299,0.03692057380226234,1.0442529283308526,-0.44826039333156975,365
radicle,RAD,12297310.628090398,3214967.6312136217,0.0044740793868888904,0.0382501848811718,0.6944265442135475,-0.3333422920001632,365
dao-maker,DAO,11415767.597249556,1113441.5060320296,0.028636780922507574,0.10252687308138814,2.076804300716165,-0.4175581244698394,365
balancer,BAL,9894959.455122598,851940.7636619466,0.03594002117993286,0.11614609697264064,1.4954870657415817,-0.7427625536217397,365
milady-meme-coin,LADYS,9872415.818274312,1447966.5679039964,0.0319570427492631,0.06818124145342061,1.172178803330295,-0.38460451922808403,365
gitcoin,GTC,8965259.610974165,1134803.133192346,0.027884465300073068,0.07900277456719515,0.9580640528984982,-0.4581506245362149,365
bella-protocol,BEL,8732623.161479233,2062343.104148612,0.01269199175078043,0.04234321216441957,0.9434128657625377,-0.3569656073686406,365
badger-dao,BADGER,8139195.7758118985,833814.2621144876,0.038249431577291874,0.09761401484272451,0.6685675529537113,-0.34746128808679333,365
truefi,TRU,5705883.253732021,2954279.762573373,0.011219340073071614,0.019313957080225264,1.6839719740341679,-0.5870957455914838,365
polkastarter,POLS,5423592.032059658,154303.95610219776,0.14487910415368982,0.35148755541092763,1.0595031654670461,-0.3672947647878716,365
star-atlas,ATLAS,5050189.492624036,113918.80663774244,0.22147827654614446,0.44331481707699505,1.0518175411232848,-0.4145187903252129,365
dydx,DYDX,4023958.1340630082,8928060.084289845,0.004238589371902108,0.004507091233787414,1.0101967032499977,-0.5333732945650758,365
aavegotchi,GHST,3892380.120572585,531502.9667096591,0.05650923901831297,0.07323345991215986,2.5653962589269406,-0.6731309262480045,365
ramp,RAMP,3269404.3329708995,304.3335422106092,1830.0470904699368,107.42832713156409,1.6196654239894257,-0.3610037361466285,365
perpetual-protocol,PERP,1890052.351516845,1221699.1563878097,0.04631050858170281,0.01547068557454972,2.082013615641626,-0.5670851714383394,365
polymath,POLY,1715226.0842852958,3400.965862296272,69.56664276061431,5.043349900393312,9.457951163122916,-0.8451694818986858,365
wojak,WOJAK,1573649.5619051883,11728.626228220244,2837.4442811306326,1.341716865457636,23.531449188596074,-0.9997227480222363,365
dforce-token,DF,330374.81349579437,70505.94868852428,294.1440843980123,0.04685772188603527,5.891072753523991,-0.969566399405195,365
merit-circle,MC,219262.58406294827,13.14589831286515,5239.017020699719,166.79163252644997,1.8499954003692942,-0.7760235768038356,339
rally-2,RLY,157756.45300127505,451.2981749878316,155.08742489018226,3.4956146899005,0.7912520015647052,-0.37643519022900906,365
